Time,"Curtailment
"
1/30/2022 11:00,32.2
2/6/2022 11:00,7.96
2/13/2022 11:00,1.54
2/20/2022 11:00,1.91
2/27/2022 11:00,1.68
3/6/2022 11:00,17.5
3/13/2022 11:00,0.0447
3/20/2022 11:00,1.74
3/27/2022 11:00,27.7
4/3/2022 10:00,0.518
4/10/2022 10:00,0.68
4/17/2022 10:00,8.57
4/24/2022 10:00,6.47
5/1/2022 10:00,3.93
5/8/2022 10:00,0
5/15/2022 10:00,19.6
5/22/2022 10:00,13.3
5/29/2022 10:00,3.85
6/5/2022 10:00,3.8
6/12/2022 10:00,5.21
6/19/2022 10:00,5.36
6/26/2022 10:00,17.8
7/3/2022 10:00,12.8
7/10/2022 10:00,6.62
7/17/2022 10:00,12.5
7/24/2022 10:00,25.8
7/31/2022 10:00,10.2
8/7/2022 10:00,0.00135
8/14/2022 10:00,22.5
8/21/2022 10:00,9.44
8/28/2022 10:00,26.2
9/4/2022 10:00,14.9
9/11/2022 10:00,27.3
9/18/2022 10:00,7.47
9/25/2022 10:00,3.69
10/2/2022 11:00,0.938
10/9/2022 11:00,6.84
10/16/2022 11:00,36.1
10/23/2022 11:00,17
10/30/2022 11:00,22.3
